Id,Author,mod_title,Genre,Comment
762,Herrand von Wildonie,Die Katze,Fabel,
,,Die Katze als Diener,Fabel,
,,Die Katze als Nonne,Fabel,
,–,Die Kinder der Edelleute,Bispel,
752,Hartmann von Aue,Die Klage,Minnerede,
367-158,Der Stricker,Die Klage,Bispel,
1340,Egen von Bamberg,Die Klage der Minne,Minnerede,
,,Die Klage des Einsiedlers,Minnerede,
,Peter Schmier,Die Klage des Wolfs,Fabel,
,–,Die Kohlen,Maere,
367-30,Der Stricker,Die Königin vom Mohrenland,Maere,
,Schondoch,Die Königin von Frankreich,Maere,
367-99,Der Stricker,Die Kupplerin,Maere,
,Heinrich von Freiberg,Die Legende vom heiligen Kreuz,Religious,
,,Die Leseprobe,Minnerede,
,,Die Liebesprobe,Minnerede,
,,Die Linde der Dorn,Minnerede,
,,Die Linde im Verbogenen,Minnerede,
367-59,Der Stricker,Die Martinsnacht,Maere,
,,Die Maze,Bispel,
,,Die Meierin mit der Geiß,Maere,
367-12,Der Stricker,Die Messe,Religious,
,,Die Messerlein,Religious,
367-105,Der Stricker,Die Milch und die Fliegen,Fabel,
,,Die Minne und die Ehre,Minnerede,
,–,Die Minne vor Gericht,Minnerede,
,,Die Minneburg,Minnerede,
,,Die Minnesänger,,
,,Die Nacht in der Feldscheune,Minnerede,B66
,,Die Nachtigall A,Minnerede,
,,Die neun Merkmale einer schönen Frau,Minnerede,
,,Die Niklashauser Fahrt,,
,,Die Ratte,Minnerede,
,Freidank,Die Rebhühner,Moral,
,–,Die rechte Art der Minne,Minnerede,
367-88,Der Stricker,Die reiche Stadt,Bispel,
367-124,Der Stricker,Die Schlange ohne Gift,Bispel,
,,Die Schnecke und die Krähe,Fabel,
,,Die schöne Abenteuer,Minnerede,
,–,Die Schönheit der Geliebten,Minnerede,
,Hans Rosenplüt,Die sechs Ärzte,Maere,
,,Die sechs Farben,Religious,
,Der Stricker,Die sechs Teufelsscharen,Religious,
367-135,Der Stricker,Die sechs Versuchungen,Religious,
,–,Die sieben größten Freuden,Religious,
367-115,Der Stricker,Die sieben himmlischen Gaben,Religious,
367-131,Der Stricker,Die Spieler,Maere,
,–,Die Tierbeichte,Geist.Parodie,
,Hans Rosenplüt,Die Tinte,Maere,
367-134,Der Stricker,Die Tochter und der Hund,Maere,
367-107,Der Stricker,Die törichten Pfaffen,Maere,
,Herrand von Wildonie,Die treue Gattin,Maere,
367-116,Der Stricker,Die undankbaren Gäste,Maere,
367-130,Der Stricker,Die ungehorsamen Juden,Maere,
,,Die Unminne,Minnerede,
367-112,Der Stricker,Die verlorenen Christen,Maere,
,,Die verspotteten Liebhaber,Minnerede,
,,Die versuchte Treue,Maere,
367-128,Der Stricker,Die vier Evangelisten,Religious,
,,Die Weintrauben,Bispel,
